거래일시,적요,출금액,입금액,잔액,거래구분
2025.09.01 11:42:15,"월세 이체 J무어",2497500,,702500,입출금
2025.09.01 15:06:17,"푸른왜가리커피  1147",9640,,692860,입출금
2025.09.01 22:35:49,"누리카드 충전",4910,,687950,입출금
2025.09.02 07:12:48,"느티나무의원",69250,,618700,카드결제
2025.09.02 14:55:12,"은수저식당",58290,,560410,입출금
2025.09.02 15:11:19,"선류요가원",174150,,386260,입출금
2025.09.03 08:15:36,"누리카드 충전",19200,,367060,입출금
2025.09.03 09:20:34,"푸른왜가리커피  1147",6020,,361040,입출금
2025.09.03 12:16:59,"로스트웍스",12030,,349010,입출금
2025.09.03 15:20:10,"찬장특급",45010,,304000,입출금
2025.09.04 11:40:43,"도시실타래 온라인",79460,,224540,카드결제
2025.09.04 15:05:29,"푸른왜가리커피",7940,,216600,입출금
2025.09.04 16:21:09,"피자칸티나",27350,,189250,입출금
2025.09.04 16:50:22,"스트림리",21590,,167660,입출금
2025.09.04 17:05:31,"로스트웍스",10390,,157270,입출금
2025.09.04 20:29:19,"빠른택시 *운행",7760,,149510,입출금
2025.09.05 09:17:54,"레일링크 고속",12700,,136810,입출금
2025.09.05 09:23:39,"푸른왜가리커피  1147",7440,,129370,입출금
2025.09.05 12:17:02,"푸른왜가리커피  1147",11080,,118290,입출금
2025.09.05 12:29:39,"북문상회",73700,,44590,입출금
2025.09.05 17:02:29,"픽셀앤페이퍼",229770,,-185180,카드결제
2025.09.06 08:33:17,"타코거리",78890,,-264070,카드결제
2025.09.07 17:34:05,"빠른택시 *운행",17280,,-281350,입출금
2025.09.07 19:23:54,"푸른왜가리커피",6750,,-288100,입출금
2025.09.08 12:36:01,"찬장특급",116880,,-404980,입출금
2025.09.09 07:45:38,"초록들마트 214호점",123270,,-528250,입출금
2025.09.09 13:23:03,"빠른택시 *운행",17330,,-545580,입출금
2025.09.09 19:10:29,"볼트백 프로 연간",13490,,-559070,카드결제
2025.09.09 19:12:30,"푸른왜가리커피 1147",5750,,-564820,입출금
2025.09.10 08:47:43,"국수마당",63750,,-628570,입출금
2025.09.10 11:06:13,"푸른왜가리커피 1147",9110,,-637680,입출금
2025.09.10 12:25:55,"빠른택시 *운행",19910,,-657590,입출금
2025.09.11 21:04:49,"튠박스 프리미엄",14840,,-672430,입출금
2025.09.11 22:15:07,"누리카드 충전",7600,,-680030,입출금
2025.09.12 08:24:47,"아침숟가락",10420,,-690450,입출금
2025.09.12 10:01:49,"국수마당 온라인",20950,,-711400,입출금
2025.09.12 15:54:06,"초록들마트 214호점",88070,,-799470,입출금
2025.09.12 17:33:59,"픽셀앤페이퍼",256110,,-1055580,카드결제
2025.09.13 08:28:40,"푸른왜가리커피 1147",8900,,-1064480,입출금
2025.09.13 09:55:08,"누리교통카드",9420,,-1073900,입출금
2025.09.13 10:59:12,"느티나무의원",42110,,-1116010,카드결제
2025.09.13 16:35:29,"푸른왜가리커피",9220,,-1125230,입출금
2025.09.13 20:20:00,"피자칸티나",30460,,-1155690,입출금
2025.09.14 11:16:22,"누리교통카드",19010,,-1174700,입출금
2025.09.14 12:36:17,"푸른왜가리커피  1147",4810,,-1179510,입출금
2025.09.15 17:14:03,"레일링크 고속",14590,,-1194100,입출금
