Date,Description,Amount,Currency,Account
2025-09-01,"RENT TRANSFER - J MOORE",-1850.00,USD,"Everyday Checking ****2210"
2025-09-01,"BLUE HERON COFFEE  1147",-7.14,USD,"Everyday Checking ****2210"
2025-09-01,"METROCARD RELOAD",-3.64,USD,"Everyday Checking ****2210"
2025-09-02,"ELM STREET CLINIC",-51.30,USD,"Horizon Rewards Card ****4417"
2025-09-02,"SILVER FORK BISTRO",-43.18,USD,"Everyday Checking ****2210"
2025-09-02,"ZENFLOW YOGA STUDIO",-129.00,USD,"Everyday Checking ****2210"
2025-09-03,"METROCARD RELOAD",-14.22,USD,"Everyday Checking ****2210"
2025-09-03,"BLUE HERON COFFEE  1147",-4.46,USD,"Everyday Checking ****2210"
2025-09-03,"ROASTWORKS ESPRESSO",-8.91,USD,"Everyday Checking ****2210"
2025-09-03,"PANTRY EXPRESS",-33.34,USD,"Everyday Checking ****2210"
2025-09-04,"URBAN THREAD ONLINE",-58.86,USD,"Horizon Rewards Card ****4417"
2025-09-04,"BLUE HERON COFFEE",-5.88,USD,"Everyday Checking ****2210"
2025-09-04,"PIZZA CANTINA",-20.26,USD,"Everyday Checking ****2210"
2025-09-04,"STREAMLY.COM",-15.99,USD,"Everyday Checking ****2210"
2025-09-04,"ROASTWORKS ESPRESSO",-7.70,USD,"Everyday Checking ****2210"
2025-09-04,"SWIFTCAB *TRIP",-5.75,USD,"Everyday Checking ****2210"
2025-09-05,"RAILLINK INTERCITY",-9.41,USD,"Everyday Checking ****2210"
2025-09-05,"BLUE HERON COFFEE  1147",-5.51,USD,"Everyday Checking ****2210"
2025-09-05,"BLUE HERON COFFEE  1147",-8.21,USD,"Everyday Checking ****2210"
2025-09-05,"NORTHGATE GROCERS",-54.59,USD,"Everyday Checking ****2210"
2025-09-05,"PIXEL AND PAPER",-170.20,USD,"Horizon Rewards Card ****4417"
2025-09-06,"TAKO STREET KITCHEN",-58.44,USD,"Horizon Rewards Card ****4417"
2025-09-07,"SWIFTCAB *TRIP",-12.80,USD,"Everyday Checking ****2210"
2025-09-07,"BLUE HERON COFFEE",-5.00,USD,"Everyday Checking ****2210"
2025-09-08,"PANTRY EXPRESS",-86.58,USD,"Everyday Checking ****2210"
2025-09-09,"GREENFIELD MKT #214",-91.31,USD,"Everyday Checking ****2210"
2025-09-09,"SWIFTCAB *TRIP",-12.84,USD,"Everyday Checking ****2210"
2025-09-09,"VAULTBACK PRO ANNUALSAVE",-9.99,USD,"Horizon Rewards Card ****4417"
2025-09-09,"BLUEHERON COFFEE #1147",-4.26,USD,"Everyday Checking ****2210"
2025-09-10,"NOODLE YARD",-47.22,USD,"Everyday Checking ****2210"
2025-09-10,"BLUEHERON COFFEE #1147",-6.75,USD,"Everyday Checking ****2210"
2025-09-10,"SWIFTCAB *TRIP",-14.75,USD,"Everyday Checking ****2210"
2025-09-11,"TUNEBOX PREMIUM",-10.99,USD,"Everyday Checking ****2210"
2025-09-11,"METROCARD RELOAD",-5.63,USD,"Everyday Checking ****2210"
2025-09-12,"MORNING SPOON CAFE",-7.72,USD,"Everyday Checking ****2210"
2025-09-12,"NOODLEYARD ONLINE",-15.52,USD,"Everyday Checking ****2210"
2025-09-12,"GREENFIELD MKT #214",-65.24,USD,"Everyday Checking ****2210"
2025-09-12,"PIXEL AND PAPER",-189.71,USD,"Horizon Rewards Card ****4417"
2025-09-13,"BLUEHERON COFFEE #1147",-6.59,USD,"Everyday Checking ****2210"
2025-09-13,"METRO TRANSIT CARD",-6.98,USD,"Everyday Checking ****2210"
2025-09-13,"ELM STREET CLINIC",-31.19,USD,"Horizon Rewards Card ****4417"
2025-09-13,"BLUE HERON COFFEE",-6.83,USD,"Everyday Checking ****2210"
2025-09-13,"PIZZA CANTINA",-22.56,USD,"Everyday Checking ****2210"
2025-09-14,"METRO TRANSIT CARD",-14.08,USD,"Everyday Checking ****2210"
2025-09-14,"BLUE HERON COFFEE  1147",-3.56,USD,"Everyday Checking ****2210"
2025-09-15,"RAILLINK INTERCITY",-10.81,USD,"Everyday Checking ****2210"
2025-09-15,"CITY POWER AND LIGHT",-75.39,USD,"Everyday Checking ****2210"
2025-09-16,"RAILLINK INTERCITY",-15.13,USD,"Everyday Checking ****2210"
2025-09-16,"TELCONNECT MOBILE",-54.00,USD,"Everyday Checking ****2210"
2025-09-16,"ROASTWORKS ESPRESSO",-5.68,USD,"Everyday Checking ****2210"
2025-09-17,"BLUE HERON COFFEE  1147",-8.95,USD,"Everyday Checking ****2210"
2025-09-17,"SWIFTCAB *TRIP",-7.64,USD,"Everyday Checking ****2210"
2025-09-17,"MORNING SPOON CAFE",-7.21,USD,"Everyday Checking ****2210"
2025-09-17,"TAKO STREET KITCHEN",-11.69,USD,"Everyday Checking ****2210"
2025-09-17,"CLOUDNEST STORAGE 200GB",-2.99,USD,"Everyday Checking ****2210"
2025-09-18,"SWIFT CAB",-9.44,USD,"Everyday Checking ****2210"
2025-09-18,"SILVER FORK BISTRO",-47.42,USD,"Everyday Checking ****2210"
2025-09-19,"NOODLE YARD",-36.62,USD,"Everyday Checking ****2210"
2025-09-19,"METRO TRANSIT CARD",-5.80,USD,"Everyday Checking ****2210"
2025-09-20,"SWIFTCAB *TRIP",-8.74,USD,"Everyday Checking ****2210"
